File names	Patent Terms	Sentences	Best answer's ranking (using tfidf-only method)	logistic regression (scikit-learn)	Note
(0)Abbott Laboratories v Andrx Pharmaceuticals Inc.txt	extended release;clarithromycin	The patent describes and claims extended release ("ER") formulations comprising erythromycin derivatives combined with a pharmaceutically acceptable polymer.	1	1	
(0)Abbott Laboratories v Novopharm Ltd.txt	TRICOR;fenofibrate composition	The ′726 patent includes claims directed to a therapeutic fenofibrate composition (claims 1-7), a method for the manufacture of that fenofibrate composition (claims 8 and 9), a method for improving the bioavailability of fenofibrate (claim 10), and a method for treatment of hyperlipidemia or hypercholesterolemia using the claimed fenofibrate composition (claims 11 and 12).	4	14	
(0)Abbott Laboratories v Sandoz Inc.txt	Omnicef;crystalline cefdinir	The ′507 specification states that "Crystal A of the compound (I) [cefdinir] shows its distinguishing peaks" at the seven particular PXRD angles enumerated in claim 1.	1	17	Hidden behind
(0)ACCO Brands Inc v Micro Sec Devices Inc.txt	locking mechanism;portable electronic devices	The ′989 patent is directed to a locking mechanism for portable electronic devices such as computers.	21	9	2nd term hard to find
(0)Agfa Corp v Creo Products Inc.txt	Galileo system;CTP system;computer-to-plate system	As taught in the asserted patents, Agfa's Galileo system further improves CTP automation by facilitating the creation of multiple plates of different sizes.	5	16	
(0)Altana Pharma AG v Teva Pharmaceuticals USA Inc.txt	Protonix;PPIs	The compound pantoprazole belongs to a class of compounds known as proton pump inhibitors ("PPIs") that are used to treat gastric acid disorders in the stomach.	4	2	
(0)Alza Corp v Mylan Laboratories Inc.txt	oxybutynin;extended release	This litigation arose from Mylan's and Impax's filings of ANDAs for once-daily, controlled-release oxybutynin formulations.	1	1	
(0)Amazoncom Inc v Barnesandnoblecom Inc.txt	1-Click;single-action ordering	Amazon’s patent is directed to a method and system for “single action” ordering of items in a client/server environment such as the Internet.	16	1	
(0)Amhil Enterprises Ltd v Wawa Inc.txt	container lids;cavity	The patent professes that the lids are an improvement over prior lids because, in manufacture, they facilitate fabrication by improving the strip ability from the mold, in shipping and storage, they require a smaller volume than prior lids *1557 required, and, in use, they have enhanced rim-gripping ability for a secure hold.	7	2	2nd term hard to find
(0)Anascape Ltd v Nintendo of America Inc.txt	hand-operated controllers;6DOF	The field of invention is hand-operated controllers for the movement of images on a computer screen or television display, particularly as used in video games.	6	4	2nd term hard to find
(0)Apotex Inc v UCB Inc.txt	moexipril magnesium;alkaline magnesium compound	The ′556 patent is generally directed to a process for manufacturing moexipril tablets.	3	8	
(0)Apotex USA Inc v Merck And Co Inc.txt	enalapril sodium;process	Apotex is the assignee of the ′780 and ′962 patents, which relate to a process for making a stable solid formulation of enalapril sodium for use in the treatment of high blood pressure.	2	4	2nd term hard to find
(0)Atlas Powder Co v Ireco Inc.txt	ANFO;water-in-oil emulsion	The Clay patent and its reissue both claim composite explosives made from the combination of an ANFO blasting composition and an unsensitized water-in-oil emulsion.	3	3	
(0)Aventis Pharma Deutschland GmbH v Lupin Ltd.txt	Altace;ramipril	This is a patent infringement action concerning the pharmaceutical compound ramipril, which is marketed by King Pharmaceuticals, Inc. ("King") as a blood pressure medication under the name Altace(r).	2	1	
(0)Aventis Pharma SA v Amphastar Pharmaceuticals Inc.txt	Lovenox;LMWH	The drug is marketed as Lovenox(r) in the United States and Clexane(r) in Europe and is effective in preventing thromboses (blood clotting) while minimizing the possibility of hemorrhaging, especially during high-risk surgery.	18	90	
(0)Aventis Pharma SA v Hospira Inc.txt	Taxotere;docetaxel	The ′561 and ′512 patents are pharmaceutical patents related to the administration of the chemotherapy cancer drug docetaxel, which is marketed under the brand-name Taxotere.	15	4	
