	Background:
	Patentee brought action against competitor, alleging infringement of its patents for an automated computer-to-plate system for making multiple printing plates.
	The United States District Court for the District of Massachusetts, George A. O'Toole, Jr., J., 2004 WL 2387288, declared all the asserted patents unenforceable for inequitable conduct, and patentee appealed. 
	Holdings:
	The Court of Appeals, Rader, Circuit Judge, held that: 
	trial court's decision to hold a bench trial on issue of patentee's alleged inequitable conduct did not preclude the court's later grant of a jury trial on issue of patent's validity; term "stack" in the patents encompassed a number of plates arranged together in an orderly fashion, regardless of the orientation of the collection as a whole; undisclosed prior art during prosecution of patents was material; and evidence was sufficient to establish that patentee intended to deceive patent examiner. 
	After a bench trial, the United States District Court for the District of Massachusetts declared all of Agfa Corporation's asserted patents unenforceable for inequitable conduct.
	Agfa Corp. v. Creo Prods., Inc., Civil Action No. 00
	-10836-GAO (D.Mass. Oct. 5, 2004) (Judgment ) (judgment incorporating the trial court's earlier Findings of Fact, Conclusions of Law and Order for Judgment dated Aug. 24, 2004 (Decision )).
	Agfa challenges that result and also appeals the trial court's order granting the defendants'1 request that inequitable conduct be tried to the court, prior to a jury trial on the other issues in the case.
	Agfa Corp. v. Creo Prods., Inc., Civil Action No. 00
	-10836-GAO (D.Mass. July 16, 2003) (Bench Trial Order ).
	Finally, Agfa appeals the trial court's award of attorney fees under 35 U.S.C. �� 285.
	Judgment (incorporating the trial court's Award of Attorneys' Fees and Costs, dated Oct. 5, 2004 (Attorney Fees Decision )).
	Because the trial court did not err in any of those decisions, and because this court agrees with the trial court's claim construction of the one disputed claim term, this court affirms. 
	Large scale printing typically uses presses with plates made of materials such as aluminum or polyester.
	Conventionally, those plates are formed with a two-step method.
	The first step places a desired image on polyester film.
	The next step transfers that image to the printing plate.
	A light-sensitive chemical emulsion on the plate often facilitates that transfer.
	Mounted on the printing press, the plate then reproduces images in a conventional manner. 
	Unlike that conventional technique, "computer-to-plate" (CTP) systems take a desired image, which can include both written and graphic content, and transfer that image directly from a computer onto the plate.
	These plates made with a CTP system then substitute for conventionally formed plates.
	CTP systems offer clear advantages over conventional methods of forming printing plates. 
	Agfa owns U.S. Patent Nos. 5,655,452 (the '452 patent); 5,738,014 (the '014 patent); 5,788,455 (the '455 patent); 5,791,250 (the '250 patent); 5,992,324 (the '324 patent); and 6,000,337 (the '337 patent).
	Those patents claim various features of Agfa's CTP system, i.e., its "Galileo" system.
1	As taught in the asserted patents, Agfa's Galileo system further improves CTP automation by facilitating the creation of multiple plates of different sizes.
	Agfa's patents all feature the same specification and drawings.
	Figure 1 of the '452 patent, reproduced below, is representative of Agfa's patented system. 
	As shown in that figure, CTP system 10 includes a computer 12 and image processor 14 linked to a platesetter 16.
	The platesetter includes a plate handler 18 having a number of cassettes 24, which include stacks of plates 26.
	During operation, the handler 18 can move the cassettes up or down such that a "picker" 28 can access any particular individual plate.
	Each cassette can include up to 100 plates, each separated from the adjoining plates by a protective "slip sheet," which is automatically removed by a slip sheet removal mechanism 25.
	While each cassette contains plates of the same size, plate size can differ from cassette to cassette.
	Thus, during operation, the "picker" can change plate size by selecting a different cassette. 
	Because the plates are light sensitive, an operator loads the cassettes in a darkroom.
	After receiving the cassettes, the system operates without human intervention.
	The system selects a plate and transfers it to the imaging engine 22.
	The imaging engine prints an image directly onto the plate.
	The claim construction dispute in this case, however, concerns the plate handler 18.
	More specifically, as discussed below, the claim construction dispute concerns the meaning of the term "stack" that appears in every asserted claim. 
	Agfa and Creo compete in the CTP market.
	Agfa sued Creo alleging that Creo's CTP system infringed all of Agfa's Galileo patents.
