	Background:
	Defendant who prevailed in patent infringement and false advertising suit moved for award of attorney fees.
	The United States District Court for the Western District of Wisconsin, Barbara B. Crabb, J., 277 F.Supp.2d 965, granted motion, and plaintiff appealed. 
	The Court of Appeals, Lourie, Circuit Judge, held that plaintiff's failure to disclose material prior art warranted finding that its subsequent infringement action was extraordinary. 
	Bruno Independent Living Aids, Inc. ("Bruno") appeals from the decision of the United States District Court for the Western District of Wisconsin awarding attorney fees to Acorn Mobility Services, Ltd. and Acorn Stairlifts, Inc. (collectively "Acorn") pursuant to 35 U.S.C.
	�� 285 for an "exceptional case," predicated on a determination that Bruno engaged in inequitable conduct while prosecuting United States Patent 5,230,405.
	Bruno Indep.
	Living Aids, Inc. v. Acorn Mobility Servs., Ltd., 277 F.Supp.2d 965 (W.D.Wis.2003)
	.
	In case we were to disturb the exceptional case finding, Acorn conditionally cross-appeals from the district court's decision denying further discovery on that issue.
	Bruno Indep.
	Living Aids, Inc. v. Acorn Mobility Servs., Ltd., No.
	02-C-0391-C (W.D.Wis. June 9, 2003).
	We affirm. 
1	Bruno manufactures and sells "stairlifts," which are devices that allow persons with mobility impairments to ascend and descend stairways on a chair that travels along a rail.
	In November 1991, Bruno filed a patent application at the United States Patent and Trademark Office ("PTO") directed to a stairlift, which issued as the '405 patent in July 1993. 
	In July 2002, Bruno sued Acorn, a competitor, alleging infringement of claims 5, 9, 10, and 15 of the '405 patent.
	During discovery, Acorn produced numerous disclosures of prior art stairlifts that had not been considered by the patent examiner, and thereafter moved for summary judgment of noninfringement and invalidity.
	Admitting that the asserted claims were invalid in view of the prior art identified by Acorn, Bruno filed a reissue application at the PTO, the fate of which is immaterial to this appeal.
	In due course, the district court granted Acorn's motion for summary judgment,1 declaring claims 5, 9, 10, and 15 invalid.
	Bruno Indep.
	Living Aids, Inc. v. Acorn Mobility Servs., Ltd., 286 F.Supp.2d 1020 (W.D.Wis.2003). 
