	Background:
	Assignee brought action against competitor alleging infringement of patent that claimed technique to achieve gradual ramping up of power signal in code division multiple access (CDMA) mobile communication system.
	The United States District Court for the Eastern District of Texas, Leonard Davis, J., 2007 WL 294176,granted summary judgment that patent was invalid as anticipated.
	Assignee appealed. 
	Holdings:
	The Court of Appeals, Moore, Circuit Judge, held that: 
	fact issue of whether prior art reference disclosed "synchronization prior to transmission" limitation in patent could not be raised by assignee for first time on appeal; assignee did not raise issue before district court of whether prior art reference disclosed "synchronization prior to transmission" limitation in patent; client's selection of new counsel for making appeal did not present exceptional case or circumstance in which declining appellate review of arguments not presented to district court would result in injustice; Court of Appeals could not determine in first instance on appeal what particular prior art reference disclosed; and assignee's argument raised for first time on appeal without any justification, as to what prior art reference disclosed, did not warrant remand to district court. 
	Plaintiff-Appellant, Golden Bridge Technology, Inc. (Golden Bridge) appeals the decision of the United States District Court for the Eastern District of Texas granting summary judgment that claims 13 and 23 of U.S. Patent No. 6,574,267 (��267 patent), which is assigned to Golden Bridge, are anticipated by PCT Publication No. WO9746041 to Hakkinen et al. (Hakkinen) and a May 1995 version of a Code Division Multiple Access (CDMA) standard called "Mobile Station-Base Station Compatibility Standard for Dual-Mode Wideband Spread Spectrum Cellular System," TIA/EIA/IS-95A (IS-95A).
	We affirm the judgment of the district court that claims 13 and 23 are anticipated by the Hakkinen reference.
	Because we affirm the district court judgment of invalidity on the basis of the Hakkinen reference, we do not address the invalidation based upon the IS-95A reference. 
	The mobile communication system described in the ��267 patent employs a CDMA scheme, where multiple mobile phones communicate at the same time with the same base station over the same frequency range by using different numerical "spreading codes" in their transmissions.1
	If too many mobile phones are transmitting simultaneously at high power levels, the mobile phones can interfere with each other.
	Therefore, there is a need to have each mobile phone transmit only as loudly as necessary to be heard by the base station.
1	The ��267 patent claims a technique to achieve this result, the gradual ramping up of the power signal in a CDMA system. 
	After Golden Bridge filed suit against Lucent, the district court held a claim construction hearing, and the parties shortly thereafter reached agreement on the construction of certain claim terms at issue in this appeal.
	Lucent and Nokia filed a motion for summary judgment that the asserted claims of the �� 267 patent were anticipated by the IS-95A and Hakkinen references.
