	Patent holder brought action against abbreviated new drug applicant, alleging patent infringement.
	The United States District Court, District of New Jersey, Nicholas H. Politan, J., 690 F.Supp.
	1376, entered judgment in favor of patent holder.
	Applicant appealed.
	The Court of Appeals, Mayer, Circuit Judge, held that patent was invalid due to obviousness under another patent assigned to patent holder. 
	Merck & Co., Inc. sued Biocraft Laboratories, Inc. for infringement of its patent, U.S. Patent No. 3,781,430.
	The United States District Court for the District of New Jersey held that Biocraft failed to show by clear and convincing evidence that the patent was invalid or unenforceable, and enjoined Biocraft from commercially making, using, and selling the claimed diuretic formulations.
	Merck & Co., Inc. v. Biocraft Laboratories, Inc., 690 F.Supp.
	1376 (D.N.J.1988).
	Biocraft appeals only the validity aspect of the judgment, arguing that the claimed combinations would have been obvious under 35 U.S.C. �� 103.
	We agree and accordingly reverse the judgment of the district court. 
	Background 
	The '430 Patent: 
	In relevant part, U.S. Patent No. 3,781,430 (the '430 patent), assigned to Merck, claims various "Diuretic Formulations".
	Inducing diuresis (increased urine excretion) or saluresis (increased electrolyte, particularly sodium, excretion), or both, diuretics are useful in the treatment of cardiovascular and renal diseases.
	Although the therapeutic effects of diuretics are often lifesaving, many cause hypokalemia, the excessive excretion of potassium ions, a condition manifested by severe muscle weakness and physical exhaustion. 
	In the formulations claimed in the '430 patent, amiloride hydrochloride (amiloride), a known "potassium conserving" diuretic (induces sodium, but not potassium, excretion), is combined with hydrochlorothiazide, a known "potassium excreting" diuretic (induces both sodium and potassium excretion).
1	As stated in the specification, the objective of co-administration is to reduce the amount of potassium ions eliminated, without reducing the amount of sodium ions eliminated.
	The inventor also reports that co-administration results in a "medically ... synergistic therapeutic accomplishment" because "more sodium ions are eliminated than would be forecast from a knowledge of the natriuretic [sodium excreting] effects of the individual drugs". 
	The '430 patent contains six claims.
	The parties agree, however, that all of the claims stand or fall with claims 2 and 3.
	Claim 1, on which claim 2 depends, and claims 2 and 3 provide as follows: 
	1.
	A composition for oral administration comprising amiloride hydrochloride and hydrochlorothiazide, wherein the ratio of amiloride hydrochloride to hydrochlorothiazide ranges from about 1:1 to 1:10 by weight of the composition. 
	2.
	A composition according to claim 1 wherein amiloride hydrochloride and hydrochlorothiazide are combined at a ratio of 1 to 10 by weight. 
	3.
	A composition for oral administration which comprises 5 mg. of amiloride hydrochloride and 50 mg. of hydrochlorothiazide. 
	The Infringement Suit: 
