	Background:
	Owner of patent for basket-type extraction medical device used to remove stones from biological systems
	brought infringement action against its competitor.
	Following transfer from the United States District Court for the Eastern District of Texas, the United States District Court for the Southern District of Indiana, No. 1:16-cv-00858-LJM-TAB, dismissed action, and, Larry J. McKinney, J., 2017 WL 2655612, denied competitor's motion for attorney fees under patent statute.
	Competitor appealed. 
	Holdings:
	The Court of Appeals, Wallach, Circuit Judge, held that: 
	District Court did not abuse its discretion in finding that substantive strength of owner's litigating position did not warrant attorney fees award, and 
	District Court did not abuse its discretion in finding that owner's conduct in other litigation did not warrant attorney fees award. 
	Appellee Stone Basket Innovations, LLC ("Stone") sued Appellant Cook Medical LLC ("Cook") in the U.S. District Court for the Southern District of Indiana ("District Court"), alleging infringement of U.S. Patent No. 6,551,327 ("the '327 patent").
	Following a dismissal with prejudice, see Stone Basket Innovations, LLC v. Cook Med.
	LLC (Stone Basket I ),
	No. 1:16-cv-00858-LJM-TAB (S.D. Ind. Jan. 11, 2017) (J.A. 1157), Cook filed, inter alia, a motion for attorney fees pursuant to 35 U.S.C.
	�� 285 (2012) ("the �� 285 Motion").
	The District Court issued an order denying the �� 285 Motion.
	Stone Basket Innovations, LLC v. Cook Med.
	LLC (Stone Basket II ), No. 1:16-cv-00858-LJM-TAB,
	2017 WL 2655612, at (S.D. Ind. June 20, 2017). 
	Cook appeals.
	We have jurisdiction pursuant to 28 U.S.C. �� 1295(a)(1) (2012).
	We affirm. 
	In April 2015, Stone filed its patent infringement suit against Cook in the U.S. District Court for the Eastern District of Texas ("Eastern District"), alleging infringement of the '327 patent.
	J.A. 41-44.
1	The '327 patent relates to a basket-type stone extraction medical device used to remove stones from biological systems.
	See '327 patent, Abstract, col. 1 ll.
	9-12.
	The claimed extraction basket includes a "support filament" such as a wire with a slideable outer sheath, "a handle comprising a sheath movement element," and a "collapsible" wire basket used to collect the stone.
	Id. col. 6 ll.
	10, 16, 19
	; see id. col. 6
	ll.
	8-45 (claim 1); see also id. col. 5 ll. 1-17. 
	In May 2015, Cook filed a motion to transfer venue from the Eastern District to the District Court.
	J.A. 59-71.
	In October 2015, Cook served its invalidity contentions.
	J.A. 1598-625.
	In January 2016, Cook deposed the '327 patent's inventor, during which he was asked questions about his contact with Stone's managing members, Daniel Mitry and Timothy Salmon, and the conception and filing of the '327 patent.
	J.A. 1504-05, 1510, 1526-27.
	Specifically, the '327 patent's inventor stated, regarding the addition of the "sheath movement element" in claim 1 to overcome an examiner's rejection, "I realize there is nothing novel about it".
