	Background:
	Owner of patent disclosing and claiming lacosamide brought infringement action against generic drug manufacturers, alleging that proposed generic lacosamide products would infringe patent.
	Following bench trial, the United States District Court for the District of Delaware,
	Nos. 1:13-cv-01206-LPS, 1:13-cv-01207-LPS, 1:13-cv-01208-LPS, 1:13-cv-01209-LPS, 1:13-cv-01210-LPS, 1:13-cv-01211-LPS, 1:13-cv-01212-LPS, 1:13-cv-01213-LPS, 1:13-cv-01214-LPS, 1:13-cv-01215-LPS, 1:13-cv-01216-LPS, 1:13-cv-01218-LPS, 1:13-cv-01219-LPS, 1:13-cv-01220-LPS, 1:14-cv-00834-LPS, Leonard P. Stark, Chief Judge,
	201 F.Supp.3d 491, determined that claims were not invalid.
	Generic manufacturers appealed. 
	Holdings:
	The Court of Appeals, Stoll, Circuit Judge, held that: 
	claim was not invalid due to obviousness-type double patenting; 
	claim was not obvious; and 
	claim was not anticipated. 
	*
	1314*1317
	This case arises under the Hatch-Waxman Act.
	Appellees UCB, Inc.; UCB BioPharma SPRL;
	Research Corp. Technologies, Inc.; and Harris FRC Corp. (collectively, "UCB") own and/or license U.S. Patent No. RE38,551.
1	The '551 patent covers lacosamide, an anti-epileptic drug, which treats epilepsy and other central nervous system disorders.
	UCB holds New Drug Applications ("NDAs") that cover its lacosamide anti-epileptic drug approved by the Food and Drug Administration ("FDA") and marketed under the tradename Vimpat THE-R.
	The '551 patent is listed in the FDA's Approved Drug Products With Therapeutic Equivalence Evaluations ("Orange Book") as covering Vimpat THE-R. 
	Appellants are generic drug manufacturers who filed Abbreviated New Drug Applications ("ANDAs"), seeking approval for generic versions of Vimpat THE-R.
	Pursuant to the governing Hatch-Waxman provisions, Appellants certified in their ANDAs that the '551 patent is invalid, unenforceable, or that their proposed generic lacosamide products will not infringe the '551 patent.
	Consequently, UCB sued Appellants for patent infringement in the United States District Court for the District of Delaware.
	Appellants stipulated to infringement of claims 9, 10, and 13 of the '551 patent but maintained that these claims are invalid for obviousness-type double patenting, obviousness, and anticipation. 
